lemma,count
gorgeously,15
darkly,15
aged,15
bitter,15
exquisitely,15
portray,15
albert,15
forever,15
hitchcock,15
inspiration,15
terrify,15
african,15
india,15
inimitable,15
partner,15
host,15
sensitive,15
sweden,15
prostitute,15
installment,15
record,15
chapter,15
pulp,15
celebration,15
fill,15
appear,15
intellectual,15
odd,15
hunter,15
pit,15
les,15
housewife,15
photographer,15
separate,15
civil,15
issue,15
strange,15
spy,15
command,15
expressive,15
welles,15
films,15
fast,14
bill,14
joan,14
race,14
favorite,14
designer,14
private,14
stark,14
author,14
miner,14
awards,14
redemption,14
myth,14
indictment,14
laura,14
melville,14
fascination,14
lena,14
martial,14
seductive,14
strong,14
dr,14
resistance,14
shake,14
troupe,14
sydow,14
newly,14
arrival,14
gabin,14
cold,14
north,14
evil,14
victor,14
word,14
display,14
joe,14
phenomenon,14
accompany,14
haunting,14
breathtake,14
circumstance,14
lie,14
persona,14
stylish,14
compose,14
troubled,14
regular,14
married,14
root,14
estate,14
account,14
object,14
river,14
anything,14
lord,14
beach,14
balance,14
top,14
neorealism,14
jealousy,14
b,14
musician,14
bob,14
mistress,14
let,14
contain,14
fan,14
backdrop,14
pitch,14
provincial,14
fragile,14
georges,14
share,14
delirious,14
sea,14
du,14
torture,14
fictional,14
ambition,14
post,14
formal,14
digital,14
dancer,14
army,14
california,14
ode,14
gunnar,14
perfect,14
entire,14
tony,14
trace,14
food,14
godzilla,14
double,14
divorce,14
wrong,14
suicide,14
border,14
wake,13
leader,13
college,13
liv,13
stardom,13
quietly,13
harrowing,13
beyond,13
largely,13
unable,13
irreverent,13
care,13
turmoil,13
ravish,13
jazz,13
almost,13
cement,13
jones,13
mr,13
promise,13
sinister,13
acclaimed,13
cycle,13
daniel,13
moody,13
allow,13
intimacy,13
hold,13
lay,13
sort,13
easy,13
devil,13
luminous,13
ban,13
condition,13
lubitsch,13
t,13
hypnotic,13
understand,13
kubrick,13
speak,13
nuclear,13
liberation,13
step,13
bank,13
wind,13
number,13
ford,13
yakuza,13
ride,13
alien,13
clever,13
length,13
federico,13
lean,13
recount,13
virtuoso,13
hallucinatory,13
nightmarish,13
wing,13
restless,13
desert,13
alain,13
surprising,13
unorthodox,13
press,13
strip,13
household,13
perspective,13
olivier,13
fascinate,13
del,13
vividly,13
francois,13
russell,13
illusion,13
heist,13
seventy,13
communist,13
don,13
subtle,13
adolescent,13
lovingly,13
coward,13
minded,13
crash,13
planet,13
adult,13
statement,13
